code,branch_code,supplier_code,issue_date,total_cost,total_discount,total_fees,total_amount
4771,1,17,2014-10-14,0,0,0,40.500000
4772,1,17,2014-10-14,0,0,0,61.200000
4773,1,17,2014-10-14,0,0,0,20.700000
4774,1,214,2014-10-14,0,0,0,36.000000
4775,1,91,2014-10-14,0,0,0,40.500000
4776,1,91,2014-10-14,0,0,0,88.200000
4777,1,214,2014-10-14,0,0,0,34.200000
4780,1,91,2014-10-14,0,0,0,67.500000
4781,1,17,2014-10-14,0,0,0,30.600000
4782,1,214,2014-10-14,0,0,0,94.500000
4783,1,17,2014-10-14,0,0,0,5.400000
4784,1,17,2014-10-14,0,0,0,140.400000
4785,1,17,2014-10-14,0,0,0,18.000000
4786,1,17,2014-10-14,0,0,0,3.600000
4787,1,17,2014-10-15,0,0,0,43.200000
4789,1,17,2014-10-15,0,0,0,81.000000
4790,1,17,2014-10-15,0,0,0,100.800000
4791,1,17,2014-10-15,0,0,0,45.000000
4792,1,17,2014-10-15,0,0,0,38.700000
4794,1,17,2014-10-15,0,0,0,50.400000
4795,1,24,2014-10-16,0,0,0,71.000000
4796,1,70,2014-10-16,0,0,0,63.000000
4797,1,17,2014-10-16,0,0,0,40.500000
4798,1,24,2014-10-16,0,0,0,302.180000
4799,1,34,2014-10-16,0,0,0,19.980000
4800,1,17,2014-10-17,0,0,0,7.200000
4801,1,17,2014-10-17,0,0,0,99.000000
4803,1,17,2014-10-17,0,0,0,27.450000
4804,1,67,2014-10-17,0,0,0,150.000000
4805,1,17,2014-10-17,0,0,0,29.700000
4806,1,223,2014-10-17,0,0,0,3073.940000
4807,1,128,2014-10-17,0,0,0,60.000000
4808,1,104,2014-10-17,0,0,0,140.000000
4809,1,17,2014-10-17,0,0,0,90.000000
4811,1,67,2014-10-18,0,0,0,170.000000
4812,1,17,2014-10-20,0,0,0,68.400000
4813,1,17,2014-10-20,0,0,0,64.800000
4814,1,17,2014-10-20,0,0,0,19.800000
4815,1,17,2014-10-20,0,0,0,4.500000
4816,1,17,2014-10-20,0,0,0,45.000000
4817,1,17,2014-10-20,0,0,0,34.200000
4818,1,128,2014-10-21,0,0,0,25.000000
4820,1,76,2014-10-21,0,0,0,13.530000
4821,1,17,2014-10-21,0,0,0,19.800000
4822,1,17,2014-10-21,0,0,0,9.000000
4823,1,338,2014-10-22,0,0,0,1203.600000
4824,1,17,2014-10-22,0,0,0,3.600000
4825,1,17,2014-10-22,0,0,0,6.300000
4826,1,91,2014-10-22,0,0,0,9.990000
4827,1,17,2014-10-22,0,0,0,1.350000
4828,1,86,2014-10-22,0,0,0,1000.000000
4829,1,76,2014-10-22,0,0,0,19.640000
4830,1,17,2014-10-22,0,0,0,4.050000
4831,1,53,2014-10-22,0,0,0,5.400000
4832,1,132,2014-10-22,0,0,0,1294.920000
4833,1,17,2014-10-22,0,0,0,34.200000
4834,1,17,2014-10-22,0,0,0,0.450000
4835,1,132,2014-10-23,0,0,0,197.560000
4836,1,17,2014-10-23,0,0,0,9.000000
4838,1,53,2014-10-23,0,0,0,10.350000
4839,1,17,2014-10-23,0,0,0,237.600000
4840,1,17,2014-10-23,0,0,0,38.000000
4841,1,17,2014-10-23,0,0,0,50.400000
4842,1,373,2014-10-23,0,0,0,29.840000
4843,1,17,2014-10-23,0,0,0,19.800000
4844,1,73,2014-10-23,0,0,0,96.000000
4845,1,17,2014-10-24,0,0,0,22.500000
4846,1,76,2014-10-24,0,0,0,17.840000
4847,1,340,2014-10-24,0,0,0,541.000000
4848,1,76,2014-10-24,0,0,0,14.300000
4849,1,17,2014-10-24,0,0,0,28.800000
