branch_code,payment_method_code,date,total_issued,total_paid
1,6,2013-11-28,0.000000,110.750000
1,6,2013-11-29,0.000000,120.000000
1,6,2013-12-02,0.000000,110.000000
1,6,2013-12-03,0.000000,2896.980000
1,6,2013-12-05,0.000000,309.100000
1,6,2013-12-06,0.000000,1070.600000
1,6,2013-12-11,0.000000,503.600000
1,6,2013-12-12,0.000000,433.200000
1,6,2013-12-17,0.000000,1085.880000
1,6,2013-12-23,0.000000,330.000000
1,6,2013-12-24,0.000000,1582.500000
1,6,2013-12-30,0.000000,1760.000000
1,6,2014-01-03,0.000000,2880.330000
1,6,2014-01-07,0.000000,163.800000
1,6,2014-01-09,0.000000,419.620000
1,6,2014-01-13,0.000000,936.800000
1,6,2014-01-16,0.000000,1085.880000
1,6,2014-01-21,0.000000,2923.870000
1,6,2014-01-22,0.000000,425.000000
1,6,2014-01-28,0.000000,486.000000
1,6,2014-02-04,0.000000,2940.310000
1,6,2014-02-05,0.000000,380.000000
1,6,2014-02-10,0.000000,937.700000
1,6,2014-02-11,0.000000,503.600000
1,6,2014-02-12,0.000000,433.200000
1,6,2014-02-13,0.000000,689.670000
1,6,2014-02-14,0.000000,198.000000
1,6,2014-02-20,0.000000,706.600000
1,6,2014-02-21,0.000000,1341.350000
1,6,2014-02-26,0.000000,1250.000000
1,6,2014-03-06,0.000000,1827.750000
1,6,2014-03-11,0.000000,1021.680000
1,6,2014-03-15,0.000000,940.000000
1,6,2014-03-17,0.000000,419.620000
1,6,2014-03-18,0.000000,2878.970000
1,6,2014-03-19,0.000000,380.000000
1,6,2014-03-25,0.000000,150.000000
1,6,2014-03-27,0.000000,995.000000
1,6,2014-04-01,0.000000,520.000000
1,6,2014-04-02,0.000000,964.480000
1,6,2014-04-03,0.000000,1751.750000
1,6,2014-04-04,0.000000,380.000000
1,6,2014-04-07,0.000000,604.750000
1,6,2014-04-08,0.000000,1418.080000
1,6,2014-04-11,0.000000,1235.210000
1,6,2014-04-14,0.000000,342.500000
1,6,2014-04-15,0.000000,3518.570000
1,6,2014-04-16,0.000000,500.000000
1,6,2014-04-17,0.000000,402.000000
1,6,2014-04-22,0.000000,104.750000
1,6,2014-04-24,0.000000,300.000000
1,6,2014-04-29,0.000000,1456.180000
1,6,2014-05-02,0.000000,71.000000
1,6,2014-05-05,0.000000,1415.000000
1,6,2014-05-06,0.000000,937.000000
1,6,2014-05-07,0.000000,695.000000
1,6,2014-05-08,0.000000,348.400000
1,6,2014-05-09,0.000000,342.500000
1,6,2014-05-12,0.000000,1418.080000
1,6,2014-05-13,0.000000,503.600000
1,6,2014-05-15,0.000000,3869.410000
1,6,2014-05-16,0.000000,107.000000
1,6,2014-05-19,0.000000,786.380000
1,6,2014-05-20,0.000000,104.750000
1,6,2014-05-21,0.000000,300.000000
1,6,2014-05-22,0.000000,1130.800000
1,6,2014-05-24,0.000000,1360.000000
1,6,2014-05-28,0.000000,695.000000
1,6,2014-05-30,0.000000,183.340000
1,6,2014-06-03,0.000000,1145.000000
1,6,2014-06-05,0.000000,372.240000
1,6,2014-06-06,0.000000,120.000000
1,6,2014-06-11,0.000000,2919.470000
1,6,2014-06-13,0.000000,1574.550000
1,6,2014-06-17,0.000000,2828.830000
1,6,2014-06-22,0.000000,997.000000
1,6,2014-06-23,0.000000,417.000000
1,6,2014-06-24,0.000000,809.000000
1,6,2014-06-25,0.000000,134.380000
1,6,2014-06-26,0.000000,390.800000
1,6,2014-07-03,0.000000,245.000000
1,6,2014-07-04,0.000000,300.000000
1,6,2014-07-07,0.000000,520.000000
1,6,2014-07-08,0.000000,417.000000
1,6,2014-07-09,0.000000,372.240000
1,6,2014-07-11,0.000000,2829.050000
1,6,2014-07-15,0.000000,134.390000
